0,010101010
1,010101011
2,010101101
3,010101110
4,010101111
5,010110101
6,010110110
7,010110111
8,010111010
9,010111011
10,010111101
11,010111110
12,010111111
13,011010101
14,011010110
15,011010111
16,011011010
17,011011011
18,011011101
19,011011110
20,011011111
21,011101010
22,011101011
23,011101101
24,011101110
25,011101111
26,011110101
27,011110110
28,011110111
29,011111010
30,011111011
31,011111101
32,011111110
33,011111111
34,101010101
35,101010110
36,101010111
37,101011010
38,101011011
39,101011101
40,101011110
41,101011111
42,101101010
43,101101011
44,101101101
45,101101110
46,101101111
47,101110101
48,101110110
49,101110111
50,101111010
51,101111011
52,101111101
53,101111110
54,101111111
55,110101010
56,110101011
57,110101101
58,110101110
59,110101111
60,110110101
61,110110110
62,110110111
63,110111010
64,110111011
65,110111101
66,110111110
67,110111111
68,111010101
69,111010110
70,111010111
71,111011010
72,111011011
73,111011101
74,111011110
75,111011111
76,111101010
77,111101011
78,111101101
79,111101110
80,111101111
81,111110101
82,111110110
83,111110111
84,111111010
85,111111011
86,111111101
87,111111110
88,111111111
